id;ANALFABETOS;ALFABETOS;PRIMARIA;NIVEL MEDIO;UNIVERSITARIOS;RAZA;SEXO
158;1972;4542;1263;871;2408;1;1
159;829;4186;436;2062;1688;1;1
160;1216;4920;745;1646;2529;1;1
161;1172;4784;77;2123;2584;1;1
162;700;5468;1457;2816;1195;1;1
163;1076;1890;37;246;1607;1;1
164;1142;4191;168;1291;2732;1;1
165;969;3917;549;939;2429;1;1
166;435;6122;1722;2840;1560;1;1
167;1850;7184;2965;2181;2038;1;1
168;1331;2517;443;661;1413;1;1
169;1076;5007;2286;2261;460;1;1
170;362;3610;2662;327;621;1;1
171;1064;3229;257;1050;1922;1;1
172;2939;7180;2759;2056;2365;1;1
173;470;4939;1437;1078;2424;1;1
174;2878;2248;1090;272;886;1;1
175;1367;2885;126;816;1943;1;1
176;2467;4830;140;2889;1801;1;1
177;958;3622;260;2670;692;1;1
178;2918;3070;1698;197;1175;1;1
179;2538;6777;1387;2671;2719;1;1
180;2114;7784;2174;2987;2623;1;1
181;1681;4102;2141;1276;685;1;1
182;1179;5790;2351;1044;2395;1;1
183;1214;2365;476;347;1542;1;1
184;1013;4344;1451;90;2803;1;1
185;1943;1931;279;162;1490;1;1
186;2849;3312;1294;1820;198;1;1
187;774;2076;390;1126;560;1;1
188;1431;2396;1309;684;403;1;1
189;2173;6486;2497;2099;1890;1;1
190;428;6090;2248;2383;1459;1;1
191;1699;6466;1770;2250;2446;1;1
192;1526;3981;978;2220;783;1;1
193;360;6006;1561;2631;1814;1;1
194;2637;2940;38;1991;911;1;1
195;1652;5056;2557;982;1517;1;1
196;2029;6249;1361;2958;1930;1;1
197;2981;3452;1472;79;1901;1;1
198;173;5884;1997;955;2932;1;1
199;2561;3648;2294;1327;27;1;1
200;2822;3885;1442;1886;557;1;1
201;1910;2651;1621;398;632;1;1
202;1789;4678;1359;1006;2313;1;1
203;451;6529;2457;2726;1346;1;1
204;903;4261;193;2522;1546;1;1
205;57;4086;2410;496;1180;1;1
206;2265;2876;335;1371;1170;1;1
207;523;6953;2899;2948;1106;1;1
208;2389;4989;982;2545;1462;1;1
209;2432;6116;2862;1903;1351;1;1
210;1078;6059;1874;2854;1331;1;1
211;1310;3835;478;2860;497;1;1
212;903;4944;279;1830;2835;1;1
213;280;5089;1912;2828;349;1;1
214;2739;7586;2961;1756;2869;1;1
215;500;3909;393;1702;1814;1;1
216;1655;4897;2857;840;1200;1;1
217;2766;4559;1468;141;2950;1;1
218;2316;3309;169;2196;944;1;1
219;1336;6022;2649;836;2537;1;1
220;1492;5321;2430;2080;811;1;1
221;832;1765;1189;195;381;1;1
222;1420;4904;1454;2322;1128;1;1
223;903;7108;2987;2276;1845;1;1
224;704;6908;2878;1161;2869;1;1
225;231;2832;376;731;1725;1;1
226;2651;4258;1905;1386;967;1;1
227;2309;6254;1959;2302;1993;1;1
228;1170;2855;210;196;2449;1;1
229;1494;4773;1524;1384;1865;1;1
230;2502;3428;1871;243;1314;1;1
231;1413;4526;1091;456;2979;1;1
232;1556;6305;2282;2365;1658;1;1
233;244;4988;2367;165;2456;1;1
234;842;3470;969;1268;1233;1;1
235;2620;6043;1949;2733;1361;1;1
236;170;6681;2822;2190;1669;1;1
237;2217;4729;2508;354;1867;1;1
238;2334;4079;2241;697;1141;1;1
239;1214;6140;2643;1054;2443;1;1
240;857;3072;406;2445;221;1;1
241;1355;6923;2704;2162;2057;1;1
242;1310;4861;2603;39;2219;1;1
243;569;3094;386;2481;227;1;1
244;2767;3766;1519;1784;463;1;1
245;2291;6638;1152;2748;2738;1;1
246;1832;7021;1970;2528;2523;1;1
247;1805;3918;2019;510;1389;1;1
248;905;3326;1464;807;1055;1;1
249;838;6119;209;2986;2924;1;1
250;1132;7927;2923;2202;2802;1;1
251;2034;3834;577;2123;1134;1;1
252;710;4161;2262;303;1596;1;1
253;305;4863;1998;2618;247;1;1
254;2161;2137;204;320;1613;1;1
255;1206;3236;1028;1520;688;1;1
256;1192;4966;2762;1795;409;1;1
257;740;3341;747;338;2256;1;1
258;771;4392;2708;1231;453;1;1
259;2050;4980;1152;2676;1152;1;1
260;2966;2818;666;1115;1037;1;1
261;1279;6385;933;2793;2659;1;1
262;405;3884;936;373;2575;1;1
263;274;6054;2184;1515;2355;1;1
264;2642;4939;2044;2474;421;1;1
265;835;4543;979;1521;2043;1;1
266;2789;2887;955;1094;838;1;1
267;5;5420;1772;2870;778;1;1
268;1133;7326;2453;1994;2879;1;1
269;87;2696;87;979;1630;1;1
270;873;6022;2975;2301;746;1;1
271;1177;3967;1837;904;1226;1;1
272;372;3269;516;311;2442;1;1
273;1029;2207;66;1885;256;1;1
274;460;2598;353;1900;345;1;1
275;2336;6900;1929;2382;2589;1;1
276;505;3244;1134;1497;613;1;1
277;2913;2710;1333;1339;38;1;1
278;1089;6232;2673;2510;1049;1;1
279;1234;2428;86;2329;13;1;1
280;915;7155;2669;2793;1693;1;1
281;2948;4958;2066;332;2560;1;1
282;1838;4192;2620;657;915;1;1
283;1606;2099;258;645;1196;1;1
284;2830;6176;2674;1307;2195;1;1
285;1523;861;136;41;684;1;1
286;1404;4377;696;2043;1638;1;1
287;897;6263;2034;2646;1583;1;1
288;2073;1905;216;277;1412;1;1
289;1993;1492;859;370;263;1;1
290;2977;4285;816;2045;1424;1;1
291;1904;5189;400;2872;1917;1;1
292;426;1265;1043;172;50;1;1
293;1192;4131;954;871;2306;1;1
294;206;6533;2914;1438;2181;1;1
295;2310;5646;1863;2623;1160;1;1
296;1279;5962;2434;2535;993;1;1
297;500;5271;2873;760;1638;1;1
298;1774;3838;538;1642;1658;1;1
299;145;5633;1220;2330;2083;1;1
300;2594;3629;1976;323;1330;1;1
301;2162;4324;1411;1401;1512;1;1
302;2327;2579;280;1999;300;1;1
303;905;4630;2302;1003;1325;1;1
304;1514;7448;2201;2496;2751;1;1
305;1233;1343;146;937;260;1;1
306;1336;4127;1203;158;2766;1;1
307;2328;6429;2930;2593;906;1;1
308;366;3743;129;2285;1329;1;1
309;1690;5013;1580;2096;1337;1;1
310;2520;2457;801;1001;655;1;1
311;2753;4390;776;617;2997;1;1
312;1168;3869;54;1628;2187;1;1
313;1492;2571;328;1250;993;1;1
314;1644;5176;2018;317;2841;1;1
315;2783;6558;2128;2628;1802;1;1
316;479;2688;263;1082;1343;1;1
317;2226;5898;2352;2430;1116;1;1
318;123;5849;2615;1368;1866;1;1
319;1926;6442;1948;2645;1849;1;1
320;577;3913;2686;95;1132;1;1
321;539;4387;750;1213;2424;1;1
322;1138;6893;2130;2574;2189;1;1
323;1997;2459;181;704;1574;1;1
324;320;5353;2220;2768;365;1;1
325;12;4442;1699;282;2461;1;1
326;2674;6219;2186;1184;2849;1;1
327;2925;1852;660;658;534;1;1
328;2330;3615;2401;429;785;1;1
329;895;3576;1120;1201;1255;1;1
330;1604;3187;1631;6;1550;1;1
331;388;5422;2669;953;1800;1;1
332;1763;1957;385;457;1115;1;1
333;623;4216;1283;1125;1808;1;1
334;1488;4559;990;2684;885;1;1
335;1201;3973;2181;75;1717;1;1
336;867;4424;361;2490;1573;1;1
337;1432;6527;2812;1621;2094;1;1
338;903;5855;2765;2225;865;1;1
339;2515;6785;1675;2724;2386;1;1
340;2334;5278;1460;2923;895;1;1
341;2805;2329;358;43;1928;1;1
342;2504;5785;2133;1599;2053;1;1
343;29;4006;1575;2270;161;1;1
344;654;2736;1580;484;672;1;1
345;801;4167;189;2407;1571;1;1
346;1750;5964;2721;1674;1569;1;1
347;413;5349;2786;2285;278;1;1
348;2589;6438;2747;1668;2023;1;1
349;79;2450;814;244;1392;1;1
350;2758;4028;21;2819;1188;1;1
351;2998;5596;943;1979;2674;1;1
352;516;4231;1886;705;1640;1;1
353;497;3943;1452;2424;67;1;1
354;781;6222;1795;2801;1626;1;1
355;391;3612;1925;1646;41;1;1
356;2661;6137;2065;1493;2579;1;1
357;1515;6902;2769;1565;2568;1;1
358;553;4147;2529;1354;264;1;1
359;2703;5115;689;2482;1944;1;1
360;141;4077;597;2949;531;1;1
361;1181;6142;2340;1537;2265;1;1
362;1079;6191;1519;2995;1677;1;1
363;937;3587;858;2583;146;1;1
364;2484;1784;1313;324;147;1;1
365;1579;4625;2646;1095;884;1;1
366;154;4355;411;1792;2152;1;1
367;460;4054;1883;81;2090;1;1
368;1132;5247;2219;1480;1548;1;1
369;564;4763;1469;983;2311;1;1
370;639;6041;1262;2163;2616;1;1
371;2368;3681;1613;1942;126;1;1
372;809;5793;2587;1618;1588;1;1
373;2458;4782;1236;1112;2434;1;1
374;1857;5104;1912;1049;2143;1;1
375;212;3527;633;1444;1450;1;1
376;2324;4927;2327;143;2457;1;1
377;2080;6190;2855;1189;2146;1;1
378;2977;5185;2141;298;2746;1;1
379;1569;2114;226;606;1282;1;1
380;2060;5184;704;2200;2280;1;1
381;228;6796;2205;2156;2435;1;1
382;1460;4418;1233;2583;602;1;1
383;2365;5248;2182;923;2143;1;1
384;988;5130;1630;1694;1806;1;1
385;2635;4577;297;2423;1857;1;1
386;1266;3300;2170;237;893;1;1
387;1465;4400;1585;1954;861;1;1
388;3000;8026;2986;2245;2795;1;1
389;2711;4902;1484;2993;425;1;1
390;2673;8265;2919;2433;2913;1;1
391;2517;3711;919;2227;565;1;1
392;359;5307;1629;2366;1312;1;1
393;453;4659;2044;2141;474;1;1
394;2785;5967;617;2704;2646;1;1
395;2610;7030;2760;2507;1763;1;1
396;167;4674;1706;2357;611;1;1
397;2725;891;101;603;187;1;1
398;1670;6024;1583;2976;1465;1;1
399;2850;2710;426;884;1400;1;1
400;2675;6180;760;2854;2566;1;1
401;2056;4395;1308;211;2876;1;1
402;2873;1191;1004;156;31;1;1
403;1359;3901;1347;1466;1088;1;1
404;2925;5113;719;2816;1578;1;1
405;1097;6267;1395;1951;2921;1;1
406;1805;2436;690;1535;211;1;1
407;955;4714;480;2149;2085;1;1
408;2552;4303;2768;1050;485;1;1
409;1730;2121;408;1020;693;1;1
410;2859;2278;361;198;1719;1;1
411;284;3963;1460;560;1943;1;1
412;2614;3443;1449;1480;514;1;1
413;1935;5288;273;2099;2916;1;1
414;583;3257;968;1886;403;1;1
415;1509;4208;1719;345;2144;1;1
416;1607;5364;2047;911;2406;1;1
417;2842;507;328;18;161;1;1
418;305;1968;922;596;450;1;1
419;1417;3945;2141;646;1158;1;1
420;2696;4886;1336;1435;2115;1;1
421;1970;1572;121;766;685;1;1
422;1662;5138;1616;618;2904;1;1
423;883;4863;1319;671;2873;1;1
424;2374;1684;1090;199;395;1;1
425;1654;7607;2687;2987;1933;1;1
426;377;6866;2250;1636;2980;1;1
427;2522;6352;2682;989;2681;1;1
428;947;2860;1656;839;365;1;1
429;2940;6628;1834;2083;2711;1;1
430;1846;4096;1471;1293;1332;1;1
431;401;5060;2976;912;1172;1;1
432;1072;1677;183;670;824;1;1
433;2604;6582;2686;2871;1025;1;1
434;544;2682;156;1696;830;1;1
435;1355;5602;2639;1714;1249;1;1
436;2215;4521;621;2024;1876;1;1
437;2409;7002;2260;2472;2270;1;1
438;546;5323;2827;2267;229;1;1
439;2692;4062;531;1122;2409;1;1
440;2308;5057;2162;928;1967;1;1
441;2187;4332;2056;233;2043;1;1
442;1204;2962;346;172;2444;1;1
443;1443;5293;1381;1935;1977;1;1
444;143;3782;845;2734;203;1;1
445;2411;3049;1840;1140;69;1;1
446;2726;5038;1495;678;2865;1;1
447;973;4580;1505;1270;1805;1;1
448;885;2928;1094;1262;572;1;1
449;2028;3783;1145;289;2349;1;1
450;247;5477;942;2484;2051;1;1
451;2049;6388;2497;1010;2881;1;1
452;995;3442;480;1511;1451;1;1
453;2842;890;93;92;705;1;1
454;250;4662;245;2033;2384;1;1
455;463;1855;1140;15;700;1;1
456;1210;8375;2940;2545;2890;1;1
457;2881;5393;1978;1179;2236;1;1
458;1120;4718;2197;2444;77;1;1
459;2311;3935;1237;1367;1331;1;1
460;673;4712;2743;1272;697;1;1
461;927;5870;738;2270;2862;1;1
462;1305;3797;1581;189;2027;1;1
463;613;4053;68;2427;1558;1;1
464;182;5640;1913;1014;2713;1;1
465;2673;6575;2635;2688;1252;1;1
466;2270;6862;2746;1594;2522;1;1
467;545;6323;2380;1860;2083;1;1
468;682;3050;897;613;1540;1;1
469;1238;3836;248;1098;2490;1;1
470;1273;5148;1971;2501;676;1;1
471;1573;5285;903;1502;2880;1;1
472;106;4477;947;2463;1067;1;1
473;1373;5251;1726;2068;1457;1;1
474;1973;4912;1731;905;2276;1;1
475;2285;4819;1486;2209;1124;1;1
476;514;3855;2662;1086;107;1;1
477;2547;5120;2395;231;2494;1;1
478;1087;4406;1795;538;2073;1;1
479;943;5142;283;1915;2944;1;1
480;2669;4213;1669;200;2344;1;1
481;1335;5312;2807;2012;493;1;1
482;530;4039;1502;1510;1027;1;1
483;1326;5174;252;2419;2503;1;1
484;1191;5252;2569;2401;282;1;1
485;809;5927;2635;1498;1794;1;1
486;1184;1169;253;788;128;1;1
487;2955;3865;215;2966;684;1;1
488;1983;5519;2808;2576;135;1;1
489;2036;5252;2743;1433;1076;1;1
490;2316;5078;2425;1870;783;1;1
491;1249;1378;63;701;614;1;1
492;1335;5555;2014;2097;1444;1;1
493;2122;1384;568;773;43;1;1
494;614;4911;1223;2799;889;1;1
495;809;3016;1470;158;1388;1;1
496;39;4707;2882;31;1794;1;1
497;2585;4978;726;1964;2288;1;1
498;2875;6627;2920;2201;1506;1;1
499;663;7217;2506;2705;2006;1;1
500;1594;4753;1758;2253;742;1;1
501;125;2915;579;1241;1095;1;1
502;19;3374;1163;587;1624;1;1
503;2259;4299;1280;2824;195;1;1
504;1584;5032;2666;1663;703;1;1
505;513;3428;1269;1101;1058;1;1
506;192;4683;677;2886;1120;1;1
507;2624;4609;924;2779;906;1;1
508;483;3465;1648;1088;729;1;1
509;500;4150;2934;1044;172;1;1
510;673;4950;2559;987;1404;1;1
511;2874;3311;154;1703;1454;1;1
512;273;7251;2114;2467;2670;1;1
513;1980;3128;254;1525;1349;1;1
514;2641;4634;1737;1961;936;1;1
515;327;4996;2746;2205;45;1;1
516;8;4374;2275;829;1270;1;1
517;2180;3567;2941;263;363;1;1
518;1756;5827;2672;1874;1281;1;1
519;21;5544;2594;1344;1606;1;1
520;2231;5256;1308;1824;2124;1;1
521;311;3927;2394;88;1445;1;1
522;786;4644;1406;1980;1258;1;1
523;700;3310;544;1013;1753;1;1
524;160;5628;1133;2789;1706;1;1
525;1789;5132;1374;1685;2073;1;1
526;1866;3896;2755;297;844;1;1
527;1266;3505;671;2324;510;1;1
528;2127;5559;2906;789;1864;1;1
529;1312;4371;957;2011;1403;1;1
530;528;2144;624;1153;367;1;1
531;2301;3952;572;564;2816;1;1
532;1202;5219;740;2221;2258;1;1
533;875;3471;739;446;2286;1;1
534;1740;2229;1314;327;588;1;1
535;940;3614;1396;1531;687;1;1
536;2263;4913;2725;1201;987;1;1
537;2480;5052;1877;1196;1979;1;1
538;2771;5138;1800;2836;502;1;1
539;1710;2899;1785;763;351;1;1
540;1581;4376;293;1743;2340;1;1
541;2503;4306;570;1161;2575;1;1
542;641;4884;659;2527;1698;1;1
543;2220;3471;1553;467;1451;1;1
544;2747;5663;2456;1680;1527;1;1
545;893;3581;130;2341;1110;1;1
546;56;2171;427;1063;681;1;1
547;21;5753;2049;2991;713;1;1
548;2799;5192;2311;379;2502;1;1
549;325;3847;541;1304;2002;1;1
550;2948;6585;2178;1964;2443;1;1
551;763;4678;1926;1950;802;1;1
552;2291;6124;2268;2402;1454;1;1
553;527;4697;933;1960;1804;1;1
554;2731;3082;1807;56;1219;1;1
555;1667;5001;1389;1429;2183;1;1
556;2717;4923;929;1065;2929;1;1
557;213;2523;605;82;1836;1;1
558;1555;5542;2242;2607;693;1;1
559;1931;3470;1717;610;1143;1;1
560;949;4193;1798;2191;204;1;1
561;1765;6522;1789;2937;1796;1;1
562;1971;3808;1279;1398;1131;1;1
563;2707;4200;2711;876;613;1;1
564;303;4728;2256;1083;1389;1;1
565;2920;3341;1091;585;1665;1;1
566;2445;2658;170;1386;1102;1;1
567;929;4316;1521;949;1846;1;1
568;742;2631;828;1452;351;1;1
569;1373;5681;1592;1312;2777;1;1
570;2108;6155;2814;2137;1204;1;1
571;2823;4133;58;2971;1104;1;1
572;1631;4866;2971;1513;382;1;1
573;2875;4238;1600;967;1671;1;1
574;1342;4874;2862;367;1645;1;1
575;2009;8122;2424;2771;2927;1;1
576;1312;4777;253;1794;2730;1;1
577;2574;1561;960;463;138;1;1
578;989;3798;1628;381;1789;1;1
579;335;2246;271;1232;743;1;1
580;1825;2562;505;1695;362;1;1
581;798;3156;2078;491;587;1;1
582;69;3685;484;2974;227;1;1
583;2175;3091;1117;1022;952;1;1
584;1310;5155;2221;1937;997;1;1
585;1002;2550;2206;120;224;1;1
586;581;5010;2340;278;2392;1;1
587;599;2251;499;1690;62;1;1
588;2736;4825;1655;1723;1447;1;1
589;1816;1952;220;859;873;1;1
590;1057;4027;1714;2302;11;1;1
591;876;3055;1603;1359;93;1;1
592;367;5296;419;2191;2686;1;1
593;2911;4957;2757;1463;737;1;1
594;1259;4452;431;1217;2804;1;1
595;633;2676;1696;138;842;1;1
596;377;3867;1752;605;1510;1;1
597;1615;5459;1432;1521;2506;1;1
598;985;2183;265;1192;726;1;1
599;2150;4656;1938;242;2476;1;1
600;958;2989;130;1756;1103;1;1
601;2269;4602;1187;2618;797;1;1
602;1148;7259;2980;2453;1826;1;1
603;324;1897;653;383;861;1;1
604;787;6616;2357;1650;2609;1;1
605;1181;4487;2648;1643;196;1;1
606;916;4711;1444;288;2979;1;1
607;595;6231;2324;2655;1252;1;1
608;1294;2647;225;422;2000;1;1
609;2020;3881;1058;2483;340;1;1
610;1442;5418;1601;2788;1029;1;1
611;1657;6162;1923;2725;1514;1;1
612;2930;5371;2696;1197;1478;1;1
613;488;7394;2929;1519;2946;1;1
614;521;6186;2098;1679;2409;1;1
615;1524;2480;270;1043;1167;1;1
616;1851;4839;1300;2332;1207;1;1
617;2450;3394;1468;1090;836;1;1
618;324;4009;2044;1540;425;1;1
619;976;4923;709;1882;2332;1;1
620;1654;6062;2563;775;2724;1;1
621;280;4327;1854;2214;259;1;1
622;1303;4478;1122;1987;1369;1;1
623;557;7310;2012;2707;2591;1;1
624;2107;5142;2835;296;2011;1;1
625;202;3967;263;1887;1817;1;1
626;2373;2675;1157;391;1127;1;1
627;2453;3107;15;860;2232;1;1
628;2373;5496;275;2239;2982;1;1
629;68;3023;670;1037;1316;1;1
630;932;5460;1204;2120;2136;1;1
631;2096;3611;2760;81;770;1;1
632;1310;2210;775;994;441;1;1
633;1639;2233;1732;245;256;1;1
634;2046;1929;210;388;1331;1;1
635;2609;4278;1124;2873;281;1;1
636;934;2859;1052;1666;141;1;1
637;624;2268;254;94;1920;1;1
638;1173;2835;144;1240;1451;1;1
639;2207;3227;2244;30;953;1;1
640;1107;3490;188;2450;852;1;1
641;198;5131;2139;205;2787;1;1
642;805;6270;2149;2131;1990;1;1
643;521;4750;1082;2605;1063;1;1
644;251;3939;1937;20;1982;1;1
645;1100;2649;463;1564;622;1;1
646;114;4648;961;2867;820;1;1
647;448;3414;558;885;1971;1;1
648;348;3837;789;1838;1210;1;1
649;1330;4065;1786;2011;268;1;1
650;2770;7450;2555;2388;2507;1;1
651;869;5244;1425;1449;2370;1;1
652;2051;4023;861;2634;528;1;1
653;1269;4574;870;1273;2431;1;1
654;1634;4827;2367;248;2212;1;1
655;1817;4319;81;2280;1958;1;1
656;803;5696;1612;2142;1942;1;1
657;490;4519;1433;2288;798;1;1
658;1389;3801;1815;1801;185;1;1
659;1893;5760;2942;2806;12;1;1
660;503;5269;1749;2876;644;1;1
661;1969;5177;2806;1223;1148;1;1
662;807;3297;1410;1705;182;1;1
663;115;2066;414;771;881;1;1
664;310;7689;2577;2815;2297;1;1
665;1393;5167;342;2108;2717;1;1
666;1610;4347;1093;2615;639;1;1
667;260;2629;97;1131;1401;1;1
668;1423;4423;1934;1742;747;1;1
669;2994;4560;1966;496;2098;1;1
670;124;3825;811;1408;1606;1;1
671;85;4117;443;1183;2491;1;1
672;2769;5086;196;2356;2534;1;1
673;2672;6164;1430;2881;1853;1;1
674;2730;3023;110;944;1969;1;1
675;306;4296;2877;593;826;1;1
676;913;2955;41;863;2051;1;1
677;884;5295;481;2683;2131;1;1
678;2714;6976;2873;2620;1483;1;1
679;1433;1592;514;319;759;1;1
680;2348;4030;815;1684;1531;1;1
681;1671;2723;1925;33;765;1;1
682;707;2825;116;21;2688;1;1
683;185;2397;1195;546;656;1;1
684;598;5033;2086;2554;393;1;1
685;2491;992;524;121;347;1;1
686;2675;4572;1224;2169;1179;1;1
687;144;4623;410;1488;2725;1;1
688;2283;3762;108;1266;2388;1;1
689;1226;3112;839;111;2162;1;1
690;458;4316;837;1284;2195;1;1
691;2765;5146;2756;194;2196;1;1
692;2267;3108;210;1510;1388;1;1
693;2468;6143;2349;899;2895;1;1
694;1780;6685;2916;2937;832;1;1
695;1881;5904;1601;2874;1429;1;1
696;2324;3168;171;1494;1503;1;1
697;1666;4069;2406;1400;263;1;1
698;1943;1913;1199;133;581;1;1
699;1351;6157;1409;2087;2661;1;1
700;1590;3759;1142;2212;405;1;1
701;1482;3843;2767;498;578;1;1
702;1579;5322;1331;2727;1264;1;1
703;1345;5647;1653;1747;2247;1;1
704;1490;5299;1838;859;2602;1;1
705;2566;5189;2059;1966;1164;1;1
706;2069;4690;125;2046;2519;1;1
